,This study,,Journal paper,,Journal paper,,Journal paper,,Nopol website,,Nopol website,,Nopol website,
,Prob All Mut,Number of failed held-out TC,GenProg,Number of failed held-out TC,TRP,Number of failed held-out TC,PAR,Number of failed held-out TC,NopolPC May2015,Pass Held Out Test Suite,NopolC May 2015,Pass Held Out Test Suite,Nopol March 2017,Number of failed held-out TC
Closure 63,No patch found,,No patch found,,No patch found,,closure63_Seed5_ExpressionRemove_31_variant11patch.diff,0,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-63,0
Closure 111,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-111,0
Closure 113,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-113,0
Closure 119,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-119,0
Closure 130,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-130,0
Closure 132,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-132,0
Lang 24,No patch found,,lang24_Seed10_a_564_525_patch.diff,0,No patch found,,No patch found,,,,,,No patch found,
Lang 33,No patch found,,No patch found,,No patch found,,lang33_Seed7_NullCheckAdder_327_variant4patch.diff,0,,,,,No patch found,
Lang 43,No patch found,,lang43_Seed14_r_189_182_patch.diff,1,lang43_Seed14_r_187_172_patch.diff,1,No patch found,,,,,,No patch found,
,,,lang43_Seed16_r_187_172_patch.diff,1,lang43_Seed1_a_29_172_patch.diff,0,,,,,,,,
,,,lang43_Seed1_r_188_182_patch.diff,1,lang43_Seed3_r_189_172_patch.diff,1,,,,,,,,
,,,lang43_Seed3_a_29_56_patch.diff,0,lang43_Seed7_r_188_172_patch.diff,1,,,,,,,,
,,,lang43_Seed4_r_189_172_patch.diff,1,,,,,,,,,,
,,,lang43_Seed7_r_188_172_patch.diff,1,,,,,,,,,,
Lang 51,No patch found,,lang51_Seed12_a_183_47_patch.diff,0,No patch found,,lang51_Seed11_ExpressionAdd_180_variant326patch.diff,0,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#lang-51,0
,,,lang51_Seed7_a_183_210_patch.diff,0,,,lang51_Seed7_ExpressionAdd_183_variant238patch.diff,0,,,,,,
